Glenbrook Road	Wednesday
Kirkliston To Burnshot 0 C157	Thursday
Craigs Road 1 - 49	Friday
Craigs Road 55 - 93	Thursday
Cramond Road North 10 - 14	Tuesday
Cramond Road North 16 - 48	Thursday
Dalkeith Road 18 - 299	Friday
Dalkeith Road 3 - 16	Wednesday
East Fettes Avenue 1 - 27	Friday
East Fettes Avenue 30 - 52	Tuesday
Old Dalkeith Road 217 - 700	Thursday
Old Dalkeith Road 7 - 165	Friday
Oxgangs Road North 306 - 348	Thursday
Oxgangs Road North 5 - 298	Wednesday
Pentland Terrace 14 - 100	Thursday
Pentland Terrace 7 - 13	Wednesday
Redford Road 10 - 139	Wednesday
Redford Road 201 - 271	Thursday
Restalrig Road South 2 -10	Friday
Blinkbonny Road 0 EH14	Wednesday
Blinkbonny Road 0 EH4	Friday
Bridge Road 	Wednesday
Bridge Street 0 EH15	Friday
Bridge Street 0 EH28	Thursday
High Street 0 EH1	Wednesday
High Street 	Thursday
Hope Street 0 EH2	Tuesday
Hope Street 0 EH30	Thursday
Kirkgate   0 EH6	Tuesday
Kirkgate 0 EH14	Wednesday
Lochend Road 0 EH28	Thursday
Lochend Road 0 EH6	Tuesday
Long Dalmahoy Road 0 EH14	Wednesday
Long Dalmahoy Road 0 EH27	Thursday
Main Street 0 EH14	Wednesday
Main Street 	Thursday
Main Street 0 EH4	Tuesday
Manse Road 0 EH12	Wednesday
Manse Road 0 EH29	Thursday
Pentland Avenue 	Wednesday
Pentland View 0 EH10	Thursday
Pentland View 0 EH14	Wednesday
Queensferry Road 0 EH4 1 -244	Friday
Queensferry Road 0 EH4 385 - 634	Thursday
Station Road 0 EH12	Friday
Station Road 	Thursday
The Glebe 0 EH29 EH30 EH4	Thursday
The Green   Wednesday
The Green 0 EH4	Tuesday
West Woods   	Thursday
Braid Road Odd 187 - 215 and Even 168 - 220	Thursday
Braid Road Odd 7 - 181 and Even 12 - 166	Wednesday
Broomhouse Road Even 204 - 358	Wednesday
Broomhouse Road Odd 243 -363	Friday
Calder Road 0 EH27 	Thursday
Calder Road Odd 1 - 9 and Even 2 - 370	Friday
Calder Road Odd 181 - 509 and Even 372 - 374	Wednesday
Craigcrook Road Odd 1 - 161 and Even 2 - 274	Friday
Craigcrook Road Odd 163 - 189 and Even 196 - 306	Tuesday
Drum Brae Drive Even numbers	Thursday
Drum Brae Drive Odd numbers	Friday
Drum Brae North 	Thursday
Drum Brae North  108 and 133	Friday
Gilmerton Road 	Thursday
Gilmerton Road Odd 221 - 281	Friday
Restalrig Road 	Tuesday
Slateford Road Odd 1 - 97 and Even 2 - 84	Tuesday
Slateford Road Odd 151 - 185 and Even 104 - 124	Friday
Slateford Road Odd 199 - 207 and Even 132 -182	Wednesday
St John'S Road Odd 203 - 309	Wednesday
St John'S Road Odd 43 - 157 and Even 6 - 204	Friday
